type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
srv	3.1	3018	Rhythmisches Bewegungsangebot, pro 1 Lektion	Offre d’activité physique rythmée, par leçon	Offerta di attività fisica ritmica, 1 lezione	2021-01-01	2026-12-31
srv	3.1	7002	Babyschwimmen, pro 1 Monat	Bébés nageurs, par mois	Nuoto per neonati, 1 mese	2021-01-01	2026-12-31
srv	3.1	7003	Babyschwimmen, pro 1 Lektion	Bébés nageurs, par leçon	Nuoto per neonati, 1 lezione	2021-01-01	2026-12-31
srv	3.1	7004	Kinderschwimmkurs, pro 1 Monat	Cours de natation pour enfants, par mois	Corso di nuoto per bambini, 1 mese	2021-01-01	2026-12-31
srv	3.1	7005	Kinderschwimmkurs, pro 1 Lektion	Cours de natation pour enfants, par leçon	Corso di nuoto per bambini, 1 lezione	2021-01-01	2026-12-31
srv	3.1	3033	Aerobic, pro 1 Lektion	Aérobic, par leçon	Aerobica, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3034	Aerobic, online live, pro 1 Lektion	Aérobic, en ligne et en direct, par leçon	Aerobica, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3035	Aerobic, pro 1 Monat	Aérobic, par mois	Aerobica, 1 mese	2027-01-01	9998-12-31
srv	3.1	3036	Aerobic, online live, pro 1 Monat	Aérobic, en ligne et en direct, par mois	Aerobica, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3037	Aerobic, Personal Training	Aérobic, entraînement personnalisé	Aerobica, personal training	2027-01-01	9998-12-31
srv	3.1	3038	Aerobic, Personal Training, online live	Aérobic, entraînement personnalisé, en ligne et en direct	Aerobica, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3039	Krafttraining Gruppe 1, pro 1 Lektion	Musculation, groupe 1, par leçon	Allenamento della forza, gruppo 1, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3040	Krafttraining Gruppe 1, online live, pro 1 Lektion	Musculation, groupe 1, en ligne et en direct, par leçon	Allenamento della forza, gruppo 1, online live, 1 lezione	2027-01-01	9998-12-31
